address,website,phone_number,reviews_average,latitude,longitude
"United States 1st Floor, 2800 N Sheridan Rd #101, Chicago, IL 60657",,(773) 281-7835,3.9,46.423669,-129.9427085
"711 W North Ave 1st Floor, Suite D, Chicago, IL 60610",healthcare.ascension.org,(312) 573-7597,5.0,46.423669,-129.9427085
"5841 S Maryland Ave, Chicago, IL 60637",uchicagomedicine.org,(888) 824-0200,3.0,46.423669,-129.9427085
"10 S Riverside Plaza Suite 2225, Chicago, IL 60606",imaginemd.com,(312) 273-4930,4.0,46.423669,-129.9427085
"711 W North Ave 1st. Fl, Chicago, IL 60610",healthcare.ascension.org,(312) 573-7597,4.4,46.423669,-129.9427085
"4318 S State St, Chicago, IL 60609",oakstreethealth.com,(773) 245-1446,0.0,46.423669,-129.9427085
"800 S Wells St # M15, Chicago, IL 60607",cedarcrosse.com,(312) 431-6780,0.0,46.423669,-129.9427085
"2001 W Addison St, Chicago, IL 60618",windycityhealthpartners.com,(773) 404-1000,4.5,46.423669,-129.9427085
,docintheloop.com,(312) 236-7010 ext. 2,4.5,46.423669,156.2291664
"333 S Ashland Ave, Chicago, IL 60607",doctors.advocatehealth.com,,0.0,41.8765536,-161.4943293
"200 S Michigan Ave Ste 1400, Chicago, IL 60604",michiganavenueinternists.com,(312) 922-3815,3.8,41.8765536,-161.4943293
"1605 S Michigan Ave Ste B, Chicago, IL 60616",clearwellnessgroup.com,(312) 535-5770,2.0,41.8765536,-161.4943293
"200 S Michigan Ave Ste 1400, Chicago, IL 60604",feinberg.northwestern.edu,(312) 922-3815,5.0,41.8765536,-161.4943293
"5758 S Maryland Ave, Chicago, IL 60637",,(773) 702-1611,5.0,41.8765536,-161.4943293
"1509 N Western Ave Unit A, Chicago, IL 60622",mchavezmd.com,(773) 227-3303,4.7,41.8765536,-161.4943293
"2217 N Lincoln Ave, Chicago, IL 60614",wholehealthmdwellness.com,(773) 248-6200,4.0,41.8765536,-161.4943293
"5901 N Cicero Ave #600, Chicago, IL 60646",usphysicians.weebly.com,(773) 545-9200,0.0,41.8765536,-161.4943293
"47 W Polk St, Chicago, IL 60605",,(888) 824-0200,3.0,41.8765536,-161.4943293
"1921 S Michigan Ave, Chicago, IL 60616",loopmedicalcenter.com,(312) 414-1088,4.8,41.8765536,-161.4943293
"180 N Michigan Ave #1605, Chicago, IL 60601",michiganavenueprimarycare.com,(312) 201-1234,4.1,41.8765536,-161.4943293
